atom,type,x,y,z
C351,C,0.417701,0.872920,0.953978
H231,H,0.460082,0.839919,0.942852
C352,C,0.391631,0.870764,0.929613
C353,C,0.400859,0.883950,0.985009
H232,H,0.491924,0.867577,0.987682
C354,C,0.324550,0.875025,0.904608
C355,C,0.201300,0.612969,0.992651
H233,H,0.029958,0.908054,0.983390
H234,H,0.489523,0.770613,0.865195
H235,H,0.288698,0.802799,0.984385
H236,H,0.072534,0.616046,0.998815
H237,H,0.564315,0.168195,0.064735
C356,C,0.563770,0.178648,0.116852
C357,C,0.562805,0.174442,0.090298
H238,H,0.628914,0.440685,0.007585
H239,H,0.874382,0.369612,0.124910
C358,C,0.731672,0.127140,0.020119
C359,C,0.748736,0.156452,0.009094
H240,H,0.699584,0.098338,0.053156
C360,C,0.715126,0.111246,0.035634
H241,H,0.582676,0.300736,0.026059
C361,C,0.592034,0.301406,0.049855
H242,H,0.573450,0.293315,0.067996
C362,C,0.847656,0.370157,0.122390
H243,H,0.794979,0.316773,0.056746
H244,H,0.754449,0.334939,0.019436
H245,H,0.844178,0.330009,0.089541
H246,H,0.857916,0.226438,0.113409
C363,C,0.865834,0.247517,0.103990
C364,C,0.876991,0.269513,0.091929
H247,H,0.888754,0.288292,0.079541
H248,H,0.669419,0.332110,0.078401
C365,C,0.619995,0.313592,0.056324
C366,C,0.647623,0.325454,0.065867
C367,C,0.715054,0.445610,0.060462
C368,C,0.719153,0.395354,0.023908
C369,C,0.784203,0.433752,0.143750
C370,C,0.831607,0.348158,0.101374
H249,H,0.685896,0.434985,0.018598
C371,C,0.752454,0.394571,0.079914
C372,C,0.705766,0.425033,0.032586
H250,H,0.707696,0.382897,-0.000066
C373,C,0.735762,0.423637,0.076057
H251,H,0.714875,0.471257,0.058857
C374,C,0.784442,0.387115,0.098259
C375,C,0.784007,0.340404,0.059443
C376,C,0.743800,0.382700,0.046402
C377,C,0.798326,0.405793,0.126538
C378,C,0.760497,0.350746,0.039623
C379,C,0.799924,0.359831,0.085690
H252,H,0.678797,0.134141,0.263912
C380,C,0.671656,0.160685,0.258358
C381,C,0.842101,0.007465,0.255711
C382,C,0.841951,0.034196,0.256798
H253,H,0.835294,0.057692,0.254234
C383,C,0.846332,0.137871,0.278198
H254,H,0.853702,0.113807,0.272766
H255,H,0.639696,0.174101,0.202489
C384,C,0.561820,0.264008,0.242472
C385,C,0.618537,0.246697,0.228496
C386,C,0.654213,0.193042,0.211784
C387,C,0.646695,0.230517,0.211552
C388,C,0.660365,0.285768,0.224294
C389,C,0.605546,0.307655,0.238841
C390,C,0.626381,0.280787,0.233692
H256,H,0.556459,0.312172,0.257166
C391,C,0.573467,0.297547,0.246366
C392,C,0.582312,0.240438,0.231622
H257,H,0.568449,0.219811,0.224486
H258,H,0.534338,0.259215,0.247313
H259,H,0.697732,0.172438,0.190712
C393,C,0.664299,0.188613,0.251493
H260,H,0.669077,0.211011,0.266659
C394,C,0.672041,0.316140,0.221280
C395,C,0.671803,0.256904,0.211751
C396,C,0.689834,0.194489,0.196485
C397,C,0.705885,0.254151,0.206792
C398,C,0.703471,0.315803,0.208227
C399,C,0.711648,0.220604,0.197178
H261,H,0.709944,0.341813,0.200622
C400,C,0.720275,0.286216,0.204079
H262,H,0.737417,0.215050,0.191666
H263,H,0.744237,0.289798,0.192274
H264,H,0.928685,0.181650,0.212240
H265,H,0.970917,0.248967,0.218818
C401,C,0.958732,0.226379,0.216913
C402,C,0.943195,0.204408,0.214526
C403,C,0.653768,0.347589,0.231508
C404,C,0.624638,0.342566,0.242344
H266,H,0.610490,0.362596,0.249729
H267,H,0.664528,0.370822,0.230598
H268,H,0.836022,0.441714,0.209906
H269,H,0.781110,0.472057,0.184809
C405,C,0.840282,0.408764,0.170155
C406,C,0.823255,0.435592,0.187616
C407,C,0.794798,0.450809,0.174442
H270,H,0.756066,0.498298,0.272960
H271,H,0.862715,0.401815,0.179380
H272,H,0.563811,0.182511,0.138185
C408,C,0.826116,0.390152,0.142951
C409,C,0.519226,0.042393,0.362515
H273,H,0.552304,0.054010,0.403436
C410,C,0.535924,0.047942,0.382626
C411,C,0.876018,0.344226,0.370204
C412,C,0.859257,0.407732,0.388896
C413,C,0.838708,0.162382,0.284690
H274,H,0.982334,0.101821,0.312775
C414,C,0.962452,0.081127,0.387161
C415,C,0.987892,0.100134,0.336917
C416,C,0.993524,0.068356,0.395898
C417,C,0.960321,0.095536,0.354344
H275,H,0.935560,0.100162,0.345565
H276,H,0.944133,0.080540,0.404622
